quarter,ticker,DlyCap,weight
2023Q1,CDNS,57288181.56,0.002072659886996397
2023Q1,EL,57099359.88,0.0020658284060299193
2023Q1,MNST,56527730.16,0.0020451471073990994
2023Q1,OXY,56191494.96,0.002032982273524833
2023Q1,MCO,56062864.0,0.002028328464942366
2023Q1,USB,55196876.0,0.0019969974200157547
2023Q1,KLAC,54765724.83,0.0019813985702887018
2023Q1,CHTR,53847125.75,0.0019481640808442476
2023Q1,PSA,53103219.98,0.0019212499144804695
2023Q1,FTNT,52127236.4,0.001885939280392451
2023Q1,ORLY,51820890.22,0.0018748558174245162
2023Q1,VLO,51812679.6,0.001874558760994063
2023Q1,ANET,51431464.7,0.0018607665823973693
2023Q1,GM,51155285.16,0.0018507745344988405
2023Q1,PNC,50799582.2,0.0018379053660804692
2023Q1,MAR,50592388.0,0.0018304091758460394
2023Q1,EW,50325734.49,0.0018207617753027887
2023Q1,GIS,50195272.84,0.001816041733203649
2023Q2,AAPL,3035216955.96,0.09980211129610984
2023Q2,MSFT,2530893280.0,0.08321925466090645
2023Q2,AMZN,1344402680.0,0.04420581060364786
2023Q2,NVDA,1044859400.0,0.034356415254870765
2023Q2,TSLA,830857980.0,0.02731975400585295
2023Q2,GOOGL,710299800.0,0.023355635106744176
2023Q2,GOOG,703924430.0,0.023146004165850647
2023Q2,META,637669560.0,0.020967452844613092
2023Q2,UNH,447491220.48,0.014714127272741013
2023Q2,LLY,445190051.54,0.014638461670580328
2023Q2,BRK,441926111.0,0.014531138813017437
2023Q2,XOM,433610141.25,0.014257698281231109
2023Q2,JNJ,430142451.68,0.014143675875114167
2023Q2,JPM,425017712.16,0.013975167385816788
2023Q2,WMT,423259805.3,0.013917364988612391
2023Q2,V,384295598.04,0.012636168222137008
2023Q2,MA,369772794.0,0.012158638435580696
2023Q2,AVGO,357975349.55,0.011770722223628667
2023Q2,PG,357646476.06,0.011759908410603911
2023Q2,ORCL,323241104.31,0.010628612430646034
2023Q2,HD,312310000.64,0.010269182696003687
2023Q2,CVX,298122076.05,0.009802664206703757
2023Q2,MRK,292794740.04,0.009627494065953923
2023Q2,KO,260426087.16,0.008563168205856337
2023Q2,PEP,255047940.0,0.008386327324556169
2023Q2,COST,238762377.54,0.007850835614824797
2023Q2,ABBV,237702791.7,0.007815994973952713
2023Q2,BAC,228634999.57,0.007517833487476036
2023Q2,ADBE,222881642.0,0.007328655171441674
2023Q2,MCD,217867350.54,0.0071637783663818615
2023Q2,CSCO,210843500.92,0.006932824522991559
2023Q2,PFE,207069860.76,0.006808742040353782
2023Q2,CRM,205767240.0,0.006765910076789905
2023Q2,ACN,204993396.96,0.006740465052488711
2023Q2,TMO,201249931.75,0.0066173747637408445
2023Q2,NFLX,195201822.03,0.006418504591306793
2023Q2,ABT,189580001.94,0.006233651408667851
2023Q2,LIN,186575624.76,0.006134863351654306
2023Q2,AMD,183850740.0,0.006045265390113999
2023Q2,DHR,177095760.0,0.00582315234991132
2023Q2,CMCSA,171302340.0,0.005632656726035157
2023Q2,TMUS,163957421.1,0.005391145682786899
2023Q2,TXN,163458160.0,0.005374729290617576
2023Q2,DIS,163141790.4,0.005364326622706834
2023Q2,WFC,160144920.32,0.005265785409474338
2023Q2,VZ,156346425.29,0.005140885664499805
2023Q2,PM,151525471.14,0.004982366056309371
2023Q2,NEE,150137912.4,0.004936741215051337
2023Q2,RTX,143133470.32,0.0047064255182894844
2023Q2,MS,142627735.6,0.004689796264584033
2023Q2,INTC,140046720.0,0.004604928919051324
2023Q2,HON,137771907.5,0.004530129952915812
2023Q2,NKE,135985994.04,0.004471406660154104
2023Q2,BMY,134349165.65,0.004417585489700164
2023Q2,QCOM,132729600.0,0.004364331941898493
2023Q2,LOW,132255911.7,0.004348756418592512
2023Q2,UPS,129916815.0,0.004271843699477865
2023Q2,AXP,129472582.2,0.004257236713555517
2023Q2,SPGI,128605512.0,0.004228726251912234
2023Q2,INTU,128320691.4,0.004219360958546694
2023Q2,BA,127032589.04,0.004177006379958476
2023Q2,CAT,126803343.8,0.004169468480925704
2023Q2,COP,125374212.99,0.004122476692784744
2023Q2,UNP,124755790.9,0.004102142123246656
2023Q2,IBM,121505501.45,0.003995268132312828
2023Q2,AMAT,121377031.38,0.0039910438595803024
2023Q2,ISRG,120123522.0,0.0039498267457895335
2023Q2,GE,119622256.0,0.003933344429748592
2023Q2,DE,118798466.48,0.003906257096436827
2023Q2,AMGN,118758498.0,0.0039049428778003426
2023Q2,MDT,117208680.5,0.003853982745174589
2023Q2,LMT,116592616.14,0.003833725701044167
2023Q2,SYK,115814604.72,0.003808143614671061
2023Q2,NOW,114473289.0,0.003764039307561218
2023Q2,T,114026550.0,0.0037493499143332436
2023Q2,SBUX,113463324.0,0.0037308302682082816
2023Q2,PLD,113244635.58,0.0037236394919479047
2023Q2,GS,107227777.92,0.003525796930263137
2023Q2,ELV,105321610.24,0.003463119513225501
2023Q2,BLK,103507199.82,0.0034034592011947295
2023Q2,SCHW,100274968.56,0.0032971789884040574
2023Q2,MDLZ,99271340.0,0.0032641782999200297
2023Q2,ADI,97681240.58,0.003211893642319161
2023Q2,TJX,97443890.02,0.0032040892292083288
2023Q2,BKNG,97322593.53,0.0032001008336601834
2023Q2,GILD,96106290.0,0.0031601070994289123
2023Q2,MMC,93047125.68,0.003059517565841136
2023Q2,VRTX,90719934.63,0.0029829963208858634
2023Q2,ADP,90575459.0,0.0029782457633098975
2023Q2,AMT,90384379.42,0.002971962803710543
2023Q2,C,89628462.08,0.00294710720109894
2023Q2,CVS,88626388.25,0.0029141576342773
2023Q2,LRCX,85691309.42,0.002817648202396551
2023Q2,HCA,83514661.2,0.002746077012904362
2023Q2,CI,83021683.2,0.0027298672177113285
2023Q2,MO,80862312.0,0.002658864120417464
2023Q2,ETN,80158460.0,0.0026357204978497088
2023Q2,CB,79753345.44,0.0026223997735023426
2023Q2,ZTS,79580307.52,0.0026167100485169916
2023Q2,BSX,79062325.29,0.0025996780798248176
2023Q2,PANW,78149011.05,0.0025696470504943383
2023Q2,FI,77873656.5,0.002560593013882218
2023Q2,PGR,77484897.42,0.002547810080229536
2023Q2,REGN,76955634.0,0.0025304071704823168
2023Q2,SO,76600810.75,0.002518740093630558
2023Q2,BDX,76554715.69,0.0025172244246108237
2023Q2,ITW,76024374.48,0.0024997860756448952
2023Q2,PYPL,73536460.0,0.0024179800230855883
2023Q2,EQIX,73349346.1,0.002411827460503141
2023Q2,WM,70550204.14,0.0023197878200164946
2023Q2,AON,70505719.2,0.0023183250939585887
2023Q2,SLB,70012258.72,0.002302099434159052
2023Q2,NOC,69217332.2,0.002275961156015381
2023Q2,DUK,69158310.48,0.002274020440622117
2023Q2,MU,69124509.22,0.0022729090086680208
2023Q2,SHW,68474952.8,0.002251550699505097
2023Q2,CSX,68415853.0,0.0022496074167339605
2023Q2,EOG,66931263.96,0.0022007920856558557
2023Q2,APD,66532502.19,0.002187680249787903
2023Q2,CME,66515033.62,0.0021871058591619217
2023Q2,KLAC,66326485.0,0.002180906121011073
2023Q2,ATVI,66314089.2,0.0021804985300450386
2023Q2,SNPS,66251985.6,0.0021784564781953614
2023Q2,CL,63909918.72,0.00210144609547405
2023Q2,MCO,63806620.0,0.0020980494913762963
2023Q2,CDNS,63740190.8,0.0020958652078447043
2023Q2,ICE,63309760.36,0.002081712062517231
2023Q2,FDX,62310160.8,0.002048843853098867
2023Q2,TGT,60879764.0,0.0020018104374641527
2023Q2,MNST,60167538.4,0.001978391479402667
2023Q2,F,59459659.34,0.001955115441559118
2023Q2,FTNT,59383504.0,0.0019526113491569097
2023Q2,GD,59023390.4,0.0019407703183153184
2023Q2,CMG,59015010.0,0.001940494759228228
2023Q2,MCK,57906060.03,0.0019040309578151418
2023Q2,ORLY,57702030.6,0.0018973221893231374
2023Q2,FCX,57331440.0,0.0018851366603006184
2023Q2,EW,57184543.94,0.0018803065156546839
2023Q2,HUM,55866657.85,0.0018369726070286449
2023Q2,MMM,55216850.48,0.0018156060462843039
2023Q2,MAR,55033524.0,0.0018095780192846009
2023Q2,CHTR,54984635.27,0.0018079704905499564
2023Q2,GM,53603142.88,0.001762545119229869
2023Q2,ECL,53154563.49,0.0017477952114455138
2023Q2,NXPI,52766913.36,0.0017350487415952309
2023Q2,OXY,52434606.0,0.0017241220181983701
2023Q2,EMR,51657885.0,0.0016985823626110457
2023Q2,NSC,51619646.4,0.0016973250248100316
2023Q2,PSA,51316006.56,0.001687340928929799
2023Q2,ROP,51249433.6,0.0016851519183715307
2023Q3,AAPL,2662325943.81,0.09028492126151381
2023Q3,MSFT,2345716538.25,0.07954804837106232
2023Q3,AMZN,1313149600.0,0.04453159032470795
2023Q3,NVDA,1074425300.0,0.03643596075732836
2023Q3,TSLA,795449380.0,0.02697531637994859
2023Q3,GOOGL,774952920.0,0.026280239474905355
2023Q3,GOOG,757478250.0,0.025687637652919905
2023Q3,META,666766410.0,0.022611413514801552
2023Q3,LLY,509894823.35,0.01729157697044688
2023Q3,XOM,470695432.94,0.015962245419253927
2023Q3,UNH,467033717.95,0.015838069170165076
2023Q3,BRK,458216921.0,0.015539073541827273
2023Q3,WMT,430461830.52,0.0145978416222649
2023Q3,JPM,421440446.7,0.014291908034473997
2023Q3,JNJ,375048180.5,0.012718651344868187
2023Q3,MA,370115671.68,0.012551379876297317
2023Q3,V,369577307.88,0.012533122858066301
2023Q3,PG,343776558.84,0.011658166656335832
2023Q3,AVGO,342810266.88,0.011625397718435095
2023Q3,CVX,321659174.76,0.010908120898484041
2023Q3,HD,302179942.56,0.010247540269917229
2023Q3,ORCL,290154705.92,0.009839739885551162
2023Q3,ABBV,263097905.82,0.008922188421840768
2023Q3,MRK,261237786.95,0.008859107984186064
2023Q3,COST,250160333.28,0.008483448859990791
2023Q3,KO,242076833.1,0.008209320825831192
2023Q3,PEP,232980000.0,0.007900828598546928
2023Q3,ADBE,232157470.0,0.007872934922921711
2023Q3,CSCO,217989166.08,0.007392458741257876
2023Q3,BAC,217571665.36,0.007378300437418534
2023Q3,ACN,204016858.32,0.0069186291904899675
2023Q3,CRM,197304940.0,0.006691014304174545
2023Q3,TMO,195356311.5,0.006624932323829694
2023Q3,MCD,191985324.72,0.006510615263323437
2023Q3,PFE,187276493.2,0.006350929149755941
2023Q3,DHR,183185131.2,0.006212182691276208
2023Q3,LIN,181686693.1,0.006161367588719627
2023Q3,CMCSA,179535453.42,0.006088414648612867
2023Q3,ABT,168069422.3,0.005699578067856042
2023Q3,AMD,166054300.0,0.005631241146672208
2023Q3,NFLX,165267968.0,0.005604575019306972
2023Q3,TMUS,162735299.0,0.005518687030355761
2023Q3,INTC,149878800.0,0.005082696838165916
2023Q3,WFC,149497873.38,0.0050697788369072514
2023Q3,DIS,148303587.95,0.005029278173845306
2023Q3,TXN,144413518.04,0.004897357942086036
2023Q3,AMGN,143813476.0,0.004877009288510783
2023Q3,PM,143716100.1,0.004873707072459923
2023Q3,COP,143459421.8,0.0048650025860092995
2023Q3,INTU,143195533.46,0.004856053592346775
2023Q3,CAT,139269039.0,0.004722898129553384
2023Q3,VZ,136252936.4,0.004620615917868983
2023Q3,MS,135324494.89,0.004589130566189499
2023Q3,IBM,127814141.8,0.004334439122809564
2023Q3,UNP,124103525.28,0.00420860452276039
2023Q3,QCOM,123720840.0,0.004195626881741989
2023Q3,HON,121790029.74,0.004130149154380946
2023Q3,BMY,121251538.12,0.004111887801512143
2023Q3,GE,120320187.9,0.004080303809523822
2023Q3,LOW,119947581.6,0.004067667967344069
2023Q3,NEE,117505112.82,0.003984838852449734
2023Q3,NKE,117141575.88,0.003972510570828221
2023Q3,SPGI,116273462.0,0.003943071052543821
2023Q3,AMAT,115818132.3,0.003927629890574863
2023Q3,BA,115622142.72,0.003920983482820201
2023Q3,NOW,114195528.0,0.0038726040580675013
2023Q3,UPS,112737030.12,0.0038231434101096335
